timestamp,ticker,order_size,avg_price,slippage,side
2025-04-03 15:21:00+00:00,SOUN,200,8.22,0.005,buy
2025-04-03 15:21:00+00:00,SOUN,500,8.22,0.005,buy
2025-04-03 15:21:00+00:00,SOUN,1000,8.22,0.005,buy
2025-04-03 15:21:00+00:00,SOUN,2000,8.2235,0.0085,buy
2025-04-03 15:21:00+00:00,SOUN,5000,8.2274,0.0124,buy
2025-04-03 15:22:00+00:00,SOUN,10,8.18,0.005,sell
2025-04-03 15:22:00+00:00,SOUN,50,8.18,0.005,sell
2025-04-03 15:22:00+00:00,SOUN,100,8.18,0.005,sell
2025-04-03 15:22:00+00:00,SOUN,200,8.18,0.005,sell
2025-04-03 15:22:00+00:00,SOUN,500,8.18,0.005,sell
2025-04-03 15:22:00+00:00,SOUN,1000,8.18,0.005,sell
2025-04-03 15:22:00+00:00,SOUN,2000,8.1764,0.008555,sell
2025-04-03 15:22:00+00:00,SOUN,5000,8.1723,0.01272,sell
2025-04-03 15:22:00+00:00,SOUN,10,8.19,0.005,buy
2025-04-03 15:22:00+00:00,SOUN,50,8.19,0.005,buy
2025-04-03 15:22:00+00:00,SOUN,100,8.19,0.005,buy
